label,image path
moderate,crops/0079_JPEG_jpg.rf.6db65cda8e364ee98840b7f86d5474a9_box0_cls9_conf40.jpg
moderate,crops/0079_JPEG_jpg.rf.6db65cda8e364ee98840b7f86d5474a9_box1_cls9_conf26.jpg
minor,crops/0082_JPEG_jpg.rf.344b931f521365ab94c8487025c631c2_box0_cls9_conf48.jpg
minor,crops/0091_JPEG_jpg.rf.44257d7b7c28209061be69d6a9127b20_box0_cls9_conf38.jpg
minor,crops/0091_JPEG_jpg.rf.ce92cb12cf5b0f2eb22615eb020477b4_box0_cls9_conf36.jpg
minor,crops/0092_JPEG_jpg.rf.c9418e1189ea9547b528013ea5d2cc82_box0_cls9_conf30.jpg
minor,crops/0092_JPEG_jpg.rf.c9418e1189ea9547b528013ea5d2cc82_box1_cls9_conf26.jpg
moderate,crops/0093_JPEG_jpg.rf.f5cfb196a9dc3b1259216a9add06fa31_box0_cls12_conf46.jpg
minor,crops/0094_JPEG_jpg.rf.12a11db805067e6ce8236aa10d56bb96_box0_cls9_conf43.jpg
minor,crops/0094_JPEG_jpg.rf.12a11db805067e6ce8236aa10d56bb96_box1_cls17_conf27.jpg
minor,crops/0094_JPEG_jpg.rf.12a11db805067e6ce8236aa10d56bb96_box2_cls17_conf26.jpg
moderate,crops/0101_JPEG_jpg.rf.8541320010163e71d834bfbdf0e6dc68_box0_cls9_conf85.jpg
moderate,crops/0105_JPEG_jpg.rf.70e44a3b116d685f43886ab6ea6f1eaa_box0_cls9_conf37.jpg
moderate,crops/0106_JPEG_jpg.rf.9af05a4c19d37296c86dd182ba45d6a3_box0_cls9_conf30.jpg
moderate,crops/0107_JPEG_jpg.rf.acb6b5222b01fce4af3c27b9afb68efa_box0_cls11_conf30.jpg
minor,crops/0109_JPEG_jpg.rf.ba6b3e54a5b735ab487d933116ded7a2_box0_cls9_conf53.jpg
minor,crops/0109_JPEG_jpg.rf.ba6b3e54a5b735ab487d933116ded7a2_box1_cls9_conf53.jpg
minor,crops/0111_JPEG_jpg.rf.d2e9e2f51270949c791140891733d80a_box0_cls9_conf64.jpg
minor,crops/0113_JPEG_jpg.rf.ad9b6102f2c14e47c98c37fd0569232a_box0_cls9_conf49.jpg
minor,crops/0115_JPEG_jpg.rf.3f74a89fb7c9d6da0452d89e61e0693a_box0_cls9_conf35.jpg
minor,crops/0115_JPEG_jpg.rf.ab7430953370632c9b9e00d6217a11fd_box0_cls9_conf45.jpg
minor,crops/0136_JPEG_jpg.rf.518811835dc7306bc59cc63fa21b2ce4_box0_cls9_conf63.jpg
minor,crops/0138_JPEG_jpg.rf.17d4b3273564207c323164486786098e_box0_cls9_conf69.jpg
severe,crops/0154_jpeg_jpg.rf.874ce70bd7920217785da83e20346a74_box0_cls9_conf25.jpg
minor,crops/0155_JPEG_jpg.rf.30a3283c39260d3f034630dcd37341bd_box0_cls17_conf39.jpg
minor,crops/0159_jpeg_jpg.rf.1d2fbf79ab288ceaf83285113ca4472f_box0_cls17_conf34.jpg
minor,crops/0162_JPEG_jpg.rf.da8def753153bd011e8a26445c2ba01d_box0_cls9_conf39.jpg
minor,crops/0178_JPEG_jpg.rf.c95c81b30f23ac4f3cb1d10b2222590b_box0_cls9_conf31.jpg
minor,crops/0179_JPEG_jpg.rf.93959efd409ea90d67098d16ba5b7ec4_box0_cls9_conf28.jpg
minor,crops/0181_JPEG_jpg.rf.4eee5e7bc45d086920cbdcb7a44c24ff_box0_cls9_conf67.jpg
minor,crops/0183_JPEG_jpg.rf.fe33953f64baea4c4a3dcef7f5dec742_box0_cls9_conf33.jpg
moderate,crops/0185_JPEG_jpg.rf.217bf1d45ffedf9f176e6a35ede78555_box0_cls9_conf40.jpg
moderate,crops/0185_JPEG_jpg.rf.217bf1d45ffedf9f176e6a35ede78555_box1_cls18_conf31.jpg
minor,crops/0187_JPEG_jpg.rf.cc79407b83919a270230f0fd9454ead1_box0_cls9_conf56.jpg
minor,crops/0194_JPEG_jpg.rf.0e6faa1bc186bdfb665aa93fcbfb3854_box0_cls9_conf46.jpg
minor,crops/0194_JPEG_jpg.rf.b364daa566e6fe8702d6713962d68fcd_box0_cls9_conf46.jpg
minor,crops/0195_JPEG_jpg.rf.a6ef6207728a52be537a1b24066ccf03_box0_cls9_conf25.jpg
minor,crops/0199_JPEG_jpg.rf.784f8033e8289af8edfee91110d9fc56_box0_cls9_conf61.jpg
minor,crops/0199_JPEG_jpg.rf.784f8033e8289af8edfee91110d9fc56_box1_cls9_conf40.jpg
minor,crops/0199_JPEG_jpg.rf.a34bc0af9bc546910946808c423cad39_box0_cls9_conf61.jpg
minor,crops/0199_JPEG_jpg.rf.a34bc0af9bc546910946808c423cad39_box1_cls9_conf40.jpg
minor,crops/0200_JPEG_jpg.rf.4f1ab2e0b51bf247ff1deb36eb671b8e_box0_cls9_conf29.jpg
minor,crops/0202_JPEG_jpg.rf.e4c15e8fc6e5de0cee82e2e4f2909922_box0_cls9_conf43.jpg
minor,crops/0202_JPEG_jpg.rf.e4c15e8fc6e5de0cee82e2e4f2909922_box1_cls9_conf32.jpg
moderate,crops/0206_JPEG_jpg.rf.5c22d74f2a74282440b61440b2b44e6e_box0_cls9_conf64.jpg
moderate,crops/0206_JPEG_jpg.rf.5c22d74f2a74282440b61440b2b44e6e_box1_cls9_conf29.jpg
moderate,crops/0206_JPEG_jpg.rf.5c22d74f2a74282440b61440b2b44e6e_box2_cls9_conf26.jpg
moderate,crops/0214_JPEG_jpg.rf.070a41deff05ac442e337aebd1d88795_box0_cls9_conf32.jpg
moderate,crops/0220_JPEG_jpg.rf.6fcbc099b009eca4ce1d57a1994f31df_box0_cls9_conf61.jpg
moderate,crops/0251_JPEG_jpg.rf.5bec91628712f9ef50bd88892455260d_box0_cls9_conf55.jpg
moderate,crops/0251_JPEG_jpg.rf.e35b6504f7ed5df3dfc313bda3d10c7a_box0_cls9_conf55.jpg
minor,crops/0267_JPEG_jpg.rf.275e00b05cf9ffa704acdab7c86d7121_box0_cls8_conf43.jpg
minor,crops/0269_JPEG_jpg.rf.6caaa1f456d9015cf70195554ab21c2f_box0_cls12_conf32.jpg
minor,crops/0302_JPEG_jpg.rf.51360282fa1649ae257a7aaa401227a5_box0_cls9_conf51.jpg
moderate,crops/0305_JPEG_jpg.rf.96670908657d659b1190476ac8b61e95_box0_cls9_conf65.jpg
minor,crops/0318_JPEG_jpg.rf.858de242b9dde5cdea3237e84450e571_box0_cls9_conf40.jpg
minor,crops/1001_jpeg_jpg.rf.2a735cd72221b807bc6c32ff4f16ed87_box0_cls9_conf54.jpg
minor,crops/1001_jpeg_jpg.rf.2a735cd72221b807bc6c32ff4f16ed87_box1_cls9_conf49.jpg
minor,crops/1001_jpeg_jpg.rf.2a735cd72221b807bc6c32ff4f16ed87_box2_cls9_conf45.jpg
minor,crops/1001_jpeg_jpg.rf.2a735cd72221b807bc6c32ff4f16ed87_box3_cls9_conf44.jpg
minor,crops/1001_jpeg_jpg.rf.2a735cd72221b807bc6c32ff4f16ed87_box4_cls9_conf41.jpg
minor,crops/1001_jpeg_jpg.rf.2a735cd72221b807bc6c32ff4f16ed87_box5_cls9_conf35.jpg
minor,crops/1007_jpeg_jpg.rf.d52af7a5c8a603da5c2d50e1c9765729_box0_cls18_conf28.jpg
minor,crops/1009_jpeg_jpg.rf.e78a2cbd51c382815d33d48903a958dd_box0_cls9_conf67.jpg
minor,crops/1009_jpeg_jpg.rf.e78a2cbd51c382815d33d48903a958dd_box1_cls12_conf46.jpg
minor,crops/1011_jpeg_jpg.rf.143ae9653a36dc83aeea2534e08a7d97_box0_cls21_conf25.jpg
minor,crops/1012_jpeg_jpg.rf.8a7501236efd97ec6da8e60a8820dc23_box0_cls9_conf48.jpg
minor,crops/1012_jpeg_jpg.rf.8a7501236efd97ec6da8e60a8820dc23_box1_cls9_conf31.jpg
minor,crops/1012_jpeg_jpg.rf.b42482b4658d53a4c7d4bf26a0a8194f_box0_cls9_conf48.jpg
minor,crops/1015_jpeg_jpg.rf.f2777b4711c75b962a64a9b0ca935b11_box0_cls21_conf48.jpg
minor,crops/1015_jpeg_jpg.rf.f2777b4711c75b962a64a9b0ca935b11_box1_cls9_conf31.jpg
minor,crops/1020_jpeg_jpg.rf.d26d2785e995110742aa6bb129f350f1_box0_cls21_conf52.jpg
minor,crops/1020_jpeg_jpg.rf.d26d2785e995110742aa6bb129f350f1_box1_cls9_conf32.jpg
minor,crops/1020_jpeg_jpg.rf.d26d2785e995110742aa6bb129f350f1_box2_cls9_conf32.jpg
minor,crops/1021_jpeg_jpg.rf.fb4b282cf91d92a70a9292557f6e2cad_box0_cls9_conf55.jpg
minor,crops/1021_jpeg_jpg.rf.fb4b282cf91d92a70a9292557f6e2cad_box1_cls9_conf47.jpg
minor,crops/1021_jpeg_jpg.rf.fb4b282cf91d92a70a9292557f6e2cad_box2_cls9_conf45.jpg
minor,crops/1021_jpeg_jpg.rf.fb4b282cf91d92a70a9292557f6e2cad_box3_cls9_conf40.jpg
minor,crops/1021_jpeg_jpg.rf.fb4b282cf91d92a70a9292557f6e2cad_box4_cls9_conf26.jpg
minor,crops/1026_jpeg_jpg.rf.63ea5aae8a2bd9acf1d37a15e0561211_box0_cls9_conf50.jpg
minor,crops/1029_jpeg_jpg.rf.77c73b482c975d83257ae5436875cfda_box0_cls9_conf41.jpg
minor,crops/1032_jpeg_jpg.rf.8f779391190e4182f8348d8b4e01fc3b_box0_cls3_conf62.jpg
minor,crops/1041_jpeg_jpg.rf.b229005dd068bf264c4262dc1c827cb8_box0_cls9_conf51.jpg
minor,crops/1043_jpeg_jpg.rf.0469f8f39341a9c2aa43aec20c95e82b_box0_cls9_conf26.jpg
moderate,crops/1051_jpeg_jpg.rf.a51fada6f11fba1a6373b6c2a44c2b4f_box0_cls9_conf64.jpg
minor,crops/1053_jpeg_jpg.rf.030486d663255ffb54f0d318c9c208f0_box0_cls9_conf80.jpg
minor,crops/1053_jpeg_jpg.rf.0e63ee9154a7e79cfab3f93d9be008b9_box0_cls9_conf57.jpg
minor,crops/1053_jpeg_jpg.rf.0e63ee9154a7e79cfab3f93d9be008b9_box1_cls9_conf25.jpg
minor,crops/1053_jpeg_jpg.rf.21e5ee0b2cf019b3ca14b1e5106b4a14_box0_cls9_conf80.jpg
minor,crops/1060_jpeg_jpg.rf.377c1aade4e2076f468ac96c082a9b6f_box0_cls9_conf30.jpg
moderate,crops/1061_jpeg_jpg.rf.e3858c15a7e2d536a36646d20c55fed1_box0_cls9_conf78.jpg
moderate,crops/1061_jpeg_jpg.rf.e3858c15a7e2d536a36646d20c55fed1_box1_cls9_conf38.jpg
minor,crops/1065_jpeg_jpg.rf.424c9ecf12a6db497d88da3ca4e5ce4e_box0_cls9_conf39.jpg
minor,crops/1065_jpeg_jpg.rf.424c9ecf12a6db497d88da3ca4e5ce4e_box1_cls21_conf30.jpg
minor,crops/1073_jpeg_jpg.rf.27b2e52dcc39790f434f7808036a4453_box0_cls9_conf34.jpg
minor,crops/1073_jpeg_jpg.rf.27b2e52dcc39790f434f7808036a4453_box1_cls19_conf29.jpg
minor,crops/1073_jpeg_jpg.rf.ef0251c36d17fe739ced743710c20768_box0_cls9_conf68.jpg
minor,crops/1073_jpeg_jpg.rf.ef0251c36d17fe739ced743710c20768_box1_cls9_conf31.jpg
minor,crops/1073_jpeg_jpg.rf.ef0251c36d17fe739ced743710c20768_box2_cls9_conf28.jpg
moderate,crops/1077_jpeg_jpg.rf.7b42014e7b15980ce83092010478be90_box0_cls9_conf77.jpg
minor,crops/1081_jpeg_jpg.rf.109acba03fb6112e05202efe12e018a9_box0_cls9_conf43.jpg
minor,crops/1081_jpeg_jpg.rf.109acba03fb6112e05202efe12e018a9_box1_cls18_conf36.jpg
minor,crops/1084_jpeg_jpg.rf.12fd042e1c9f356f53ba21c4dcf3dd76_box0_cls16_conf35.jpg
minor,crops/1084_jpeg_jpg.rf.12fd042e1c9f356f53ba21c4dcf3dd76_box1_cls9_conf31.jpg
minor,crops/1086_jpeg_jpg.rf.429ebb577e6de30a946c1c85bd8a8530_box0_cls9_conf43.jpg
minor,crops/1086_jpeg_jpg.rf.429ebb577e6de30a946c1c85bd8a8530_box1_cls21_conf29.jpg
minor,crops/1087_jpeg_jpg.rf.b151c5ed8352532eba2f3ba5f6891fdf_box0_cls16_conf61.jpg
minor,crops/1087_jpeg_jpg.rf.b151c5ed8352532eba2f3ba5f6891fdf_box1_cls9_conf52.jpg
minor,crops/1087_jpeg_jpg.rf.b151c5ed8352532eba2f3ba5f6891fdf_box2_cls9_conf38.jpg
minor,crops/1089_jpeg_jpg.rf.cfdc6e6e58ac3d066ee0580f89592e02_box0_cls9_conf31.jpg
minor,crops/1091_jpeg_jpg.rf.8ba68d1a1abec364ed432d67818e501d_box0_cls18_conf62.jpg
minor,crops/1091_jpeg_jpg.rf.8ba68d1a1abec364ed432d67818e501d_box1_cls9_conf25.jpg
minor,crops/1092_jpeg_jpg.rf.2a1b2fa3ff6d57d82608b520eb6705b5_box0_cls9_conf49.jpg
minor,crops/1092_jpeg_jpg.rf.2a1b2fa3ff6d57d82608b520eb6705b5_box1_cls9_conf49.jpg
minor,crops/1095_jpeg_jpg.rf.0c72a0b9d7835e1a886538ce4e381ec6_box0_cls21_conf25.jpg
minor,crops/1097_jpeg_jpg.rf.274da2de516fe77a16bcde51abadfe56_box0_cls19_conf87.jpg
minor,crops/109_jpeg_jpg.rf.fce630908498ccf2a3d9679f9609a7f5_box0_cls19_conf68.jpg
minor,crops/109_jpeg_jpg.rf.fce630908498ccf2a3d9679f9609a7f5_box1_cls9_conf27.jpg
minor,crops/1103_jpeg_jpg.rf.d989b34b89cf5a3590fa6f6b2cc7f362_box0_cls9_conf35.jpg
minor,crops/1103_jpeg_jpg.rf.d989b34b89cf5a3590fa6f6b2cc7f362_box1_cls9_conf26.jpg
minor,crops/1106_jpeg_jpg.rf.8e05054bf33e3e9d7a1eb6584a188207_box0_cls9_conf53.jpg
minor,crops/1110_jpeg_jpg.rf.bf7bdf140379ee54f2953ea976e19e9e_box0_cls9_conf46.jpg
minor,crops/1110_jpeg_jpg.rf.bf7bdf140379ee54f2953ea976e19e9e_box1_cls9_conf32.jpg
minor,crops/1111_jpeg_jpg.rf.92c7ca43d1e83d79ade2b587d561e78f_box0_cls15_conf71.jpg
minor,crops/1111_jpeg_jpg.rf.92c7ca43d1e83d79ade2b587d561e78f_box1_cls3_conf48.jpg
minor,crops/1113_jpeg_jpg.rf.98edb29615ce12961587fffada77e149_box0_cls9_conf60.jpg
minor,crops/1113_jpeg_jpg.rf.98edb29615ce12961587fffada77e149_box1_cls9_conf34.jpg
minor,crops/1120_jpeg_jpg.rf.6a490544ffd81185be0fd48ebbbd3268_box0_cls9_conf49.jpg
minor,crops/1120_jpeg_jpg.rf.b17fd45f1268aa7361eac542b0fe9aa4_box0_cls9_conf49.jpg
minor,crops/1126_jpeg_jpg.rf.41d8027c95e09ae3e56a975d942623b5_box0_cls9_conf50.jpg
minor,crops/112_jpeg_jpg.rf.18a51ce91fe19e0f20ffc786497e90d0_box0_cls9_conf32.jpg
minor,crops/112_jpeg_jpg.rf.18a51ce91fe19e0f20ffc786497e90d0_box1_cls21_conf29.jpg
minor,crops/1134_jpeg_jpg.rf.ecebb9641bb1a9423546b8fa53a11289_box0_cls9_conf38.jpg
minor,crops/1138_jpeg_jpg.rf.1aa071697405a83646c65388d8e5cab9_box0_cls9_conf34.jpg
minor,crops/1138_jpeg_jpg.rf.cbb24306459cfeeae0b38ed676a5134c_box0_cls10_conf34.jpg
minor,crops/1138_jpeg_jpg.rf.cbb24306459cfeeae0b38ed676a5134c_box1_cls9_conf28.jpg
minor,crops/1146_jpeg_jpg.rf.3a1997c2d0406da337de541177f1c10c_box0_cls9_conf76.jpg
minor,crops/1146_jpeg_jpg.rf.3a1997c2d0406da337de541177f1c10c_box1_cls9_conf48.jpg
minor,crops/1152_jpeg_jpg.rf.58c65deff840d11ec283adfbddc0eea7_box0_cls9_conf35.jpg
minor,crops/1152_jpeg_jpg.rf.58c65deff840d11ec283adfbddc0eea7_box1_cls9_conf28.jpg
minor,crops/1152_jpeg_jpg.rf.c92d91d31829c8c87f36f8970946d9fb_box0_cls9_conf35.jpg
minor,crops/1152_jpeg_jpg.rf.c92d91d31829c8c87f36f8970946d9fb_box1_cls9_conf28.jpg
minor,crops/1155_jpeg_jpg.rf.e42b2ed7e9d9f4ad9468f6aebd499949_box0_cls9_conf65.jpg
minor,crops/1158_jpeg_jpg.rf.7a55d1ae2773edf0aa2fe2223781976c_box0_cls9_conf70.jpg
minor,crops/1158_jpeg_jpg.rf.7a55d1ae2773edf0aa2fe2223781976c_box1_cls9_conf67.jpg
moderate,crops/1159_jpeg_jpg.rf.56450a03b227d6067ae58403dafc4122_box0_cls9_conf36.jpg
moderate,crops/1159_jpeg_jpg.rf.e753936628c3d2734434aac68011f2f2_box0_cls9_conf51.jpg
minor,crops/116_jpeg_jpg.rf.6bb6152872aa338c03b55cce272c153b_box0_cls9_conf25.jpg
minor,crops/116_jpeg_jpg.rf.786f2f86f0e6442e386cf182549b02c0_box0_cls9_conf25.jpg
minor,crops/1171_jpeg_jpg.rf.ad871d8d158c4cd3dfead45d318ef26a_box0_cls9_conf80.jpg
minor,crops/1171_jpeg_jpg.rf.ad871d8d158c4cd3dfead45d318ef26a_box1_cls9_conf42.jpg
minor,crops/1172_jpeg_jpg.rf.c1e58087e51cbe2f8568574430d464f4_box0_cls9_conf68.jpg
minor,crops/1177_jpeg_jpg.rf.a9d5ee7682b9b03e7e529cdb74aa2007_box0_cls1_conf69.jpg
minor,crops/1177_jpeg_jpg.rf.a9d5ee7682b9b03e7e529cdb74aa2007_box1_cls12_conf39.jpg
minor,crops/1179_jpeg_jpg.rf.3128be209e0daf94ac1b373c27be697e_box0_cls9_conf53.jpg
minor,crops/1195_jpeg_jpg.rf.af625762fd96510469ba81a8b6ed6e3b_box0_cls9_conf38.jpg
minor,crops/119_jpeg_jpg.rf.506f01c46a54af1e4a648fa6f08829eb_box0_cls9_conf50.jpg
minor,crops/1203_jpeg_jpg.rf.d8872d0e0089f0b0bf4dfd51240969b8_box0_cls9_conf54.jpg
minor,crops/1206_jpeg_jpg.rf.eeeb2daf0ec6d256932d1f518075a158_box0_cls9_conf40.jpg
minor,crops/1213_jpeg_jpg.rf.d8088e7f038beae98e15b0281c213eff_box0_cls9_conf65.jpg
minor,crops/1213_jpeg_jpg.rf.d8088e7f038beae98e15b0281c213eff_box1_cls9_conf31.jpg
minor,crops/1221_jpeg_jpg.rf.c8855e7947e2e18dd5b7ddc4843bacbc_box0_cls9_conf50.jpg
minor,crops/1221_jpeg_jpg.rf.c8855e7947e2e18dd5b7ddc4843bacbc_box1_cls9_conf32.jpg
minor,crops/1230_jpeg_jpg.rf.972aa01b47019bff4cf64d90d1a61f34_box0_cls9_conf42.jpg
minor,crops/1230_jpeg_jpg.rf.972aa01b47019bff4cf64d90d1a61f34_box1_cls16_conf26.jpg
minor,crops/1245_jpeg_jpg.rf.6704b6adf03507b2ca8e76435094f851_box0_cls9_conf51.jpg
minor,crops/1245_jpeg_jpg.rf.6704b6adf03507b2ca8e76435094f851_box1_cls9_conf41.jpg
minor,crops/1256_jpeg_jpg.rf.61e403e8b2ce969950bb0d7b005399b8_box0_cls16_conf42.jpg
minor,crops/1260_jpeg_jpg.rf.e0c1cb1c13c4b495e27ed7f223442a61_box0_cls12_conf55.jpg
minor,crops/1261_jpeg_jpg.rf.107acf2918a0d855b0a762fddcaec1cf_box0_cls12_conf31.jpg
moderate,crops/1263_jpeg_jpg.rf.13c42905beff1744db568befa3c59feb_box0_cls9_conf49.jpg
moderate,crops/1263_jpeg_jpg.rf.13c42905beff1744db568befa3c59feb_box1_cls9_conf37.jpg
moderate,crops/1263_jpeg_jpg.rf.13c42905beff1744db568befa3c59feb_box2_cls10_conf26.jpg
minor,crops/1271_jpeg_jpg.rf.49ba7f80a404aa1d7d27624390d7d797_box0_cls9_conf57.jpg
minor,crops/1277_jpeg_jpg.rf.7364abf432ad33e327974714533fc1f8_box0_cls9_conf34.jpg
minor,crops/1284_jpeg_jpg.rf.b2282559f0f8f1bcae0405ed9a1375ec_box0_cls9_conf28.jpg
severe,crops/128_jpeg_jpg.rf.d30921c93e75edf019efc4ce5ad5c8b0_box0_cls9_conf36.jpg
minor,crops/1298_jpeg_jpg.rf.692514b0284936203757dadb1a495f86_box0_cls9_conf42.jpg
minor,crops/1298_jpeg_jpg.rf.692514b0284936203757dadb1a495f86_box1_cls9_conf34.jpg
minor,crops/1298_jpeg_jpg.rf.692514b0284936203757dadb1a495f86_box2_cls9_conf30.jpg
minor,crops/12_jpeg_jpg.rf.2ba961f4decc3ce0b446f5fbabe853b4_box0_cls9_conf51.jpg
minor,crops/1301_jpeg_jpg.rf.7aca625031dc1e80ef83e1ed98d44bdd_box0_cls21_conf33.jpg
minor,crops/1301_jpeg_jpg.rf.7aca625031dc1e80ef83e1ed98d44bdd_box1_cls9_conf31.jpg
minor,crops/1306_jpeg_jpg.rf.833301a0cdc610246e64136dc45ab7bf_box0_cls9_conf77.jpg
minor,crops/1312_jpeg_jpg.rf.45f56b3a1ca27d0b84bd8b73ca3bfc15_box0_cls9_conf43.jpg
minor,crops/1316_jpeg_jpg.rf.9d39db774388181cc18b61ef6172b683_box0_cls9_conf43.jpg
moderate,crops/131_jpeg_jpg.rf.e244b5f75d6f465174b124ac1a45db4c_box0_cls9_conf27.jpg
moderate,crops/131_jpg.rf.07d524e336b9126102bd307cdce0ab67_box0_cls9_conf41.jpg
minor,crops/1320_jpeg_jpg.rf.0ab58a1d980f927094d1ea2b1616a018_box0_cls9_conf38.jpg
minor,crops/1325_jpeg_jpg.rf.1b54cbdae333538505f7304c87e40d1f_box0_cls9_conf60.jpg
minor,crops/1325_jpeg_jpg.rf.1b54cbdae333538505f7304c87e40d1f_box1_cls9_conf44.jpg
minor,crops/1333_jpeg_jpg.rf.b6d1d8b5e7fa137a03a9ea9bc0ea9ad5_box0_cls16_conf37.jpg
minor,crops/1333_jpeg_jpg.rf.bc20a65f1408515f7d9e35d26d3116ac_box0_cls16_conf36.jpg
minor,crops/1333_jpeg_jpg.rf.faf84fe0e17446eed711f735dbfe08c9_box0_cls16_conf45.jpg
minor,crops/1338_jpeg_jpg.rf.b1e8928559d1c7e395434e2abecae572_box0_cls9_conf72.jpg
minor,crops/1339_jpeg_jpg.rf.4213fdf864ceb80cd0709de74f2e8e6d_box0_cls21_conf48.jpg
minor,crops/1339_jpeg_jpg.rf.4213fdf864ceb80cd0709de74f2e8e6d_box1_cls30_conf41.jpg
minor,crops/1339_jpeg_jpg.rf.6b9cf9a3ca07b6a4a69155ef78b53fdf_box0_cls21_conf49.jpg
minor,crops/1339_jpeg_jpg.rf.6b9cf9a3ca07b6a4a69155ef78b53fdf_box1_cls30_conf41.jpg
minor,crops/1348_jpeg_jpg.rf.cd7c027574aab6ead07babd9ddad7991_box0_cls9_conf34.jpg
minor,crops/1350_jpeg_jpg.rf.f1cabd86187d8914a07b17761ab465b4_box0_cls9_conf53.jpg
moderate,crops/1354_jpeg_jpg.rf.3ad09dc656894466f68437f691f23fa1_box0_cls9_conf41.jpg
moderate,crops/1354_jpeg_jpg.rf.687c70582a99ac0d483436927a4634b8_box0_cls9_conf41.jpg
minor,crops/1355_jpeg_jpg.rf.d097c5a687839ef88c6badb1faca65c8_box0_cls9_conf30.jpg
minor,crops/1356_jpeg_jpg.rf.afacf55423eeddd86265325af9374d29_box0_cls9_conf48.jpg
minor,crops/135_jpeg_jpg.rf.06f85c106d5e8fd21671b63745deaf64_box0_cls9_conf39.jpg
minor,crops/135_jpeg_jpg.rf.06f85c106d5e8fd21671b63745deaf64_box1_cls9_conf28.jpg
minor,crops/1362_jpeg_jpg.rf.0299821ad57205538639293f208e75e0_box0_cls9_conf76.jpg
minor,crops/1362_jpeg_jpg.rf.ef76a18f2b48a3092d8ef993ea614f31_box0_cls9_conf77.jpg
moderate,crops/1363_jpeg_jpg.rf.5c3f5a44e40e96695dde66f485e99616_box0_cls9_conf79.jpg
minor,crops/1364_jpeg_jpg.rf.6ff8ea2955c3143747b9a73fb5cdcf2d_box0_cls9_conf60.jpg
minor,crops/1364_jpeg_jpg.rf.6ff8ea2955c3143747b9a73fb5cdcf2d_box1_cls21_conf49.jpg
